Sample type,Count,BOLD database sequence,Data entry Sequence,Box Number,microplate ID,Well ID (for Jessica),Plate Count,NHS sequence number (BOLD Sample ID),spp,sequence,Label year,Date,Harvest Year,Age trait bee,Age Bee,Sex,KILLPROV,Lat DD,LongDD,Central Rectrix Length, Central Rectrix  Quill Dia , Central Moult code ,Longest Rectrix Length,Longest Rectrix Quill Dia ,Longest Moult code,Most lateral Rectrix Length,Most lateral Rectrix Quill Dia,Most Lateral Moult code,"Comment (e.g., missing feather)",Jim ID#,Jim Date,Jim Age,Jim Species,Jim Skull length (mm),Jim 2nd measurement,Jim CR length (entered at NWRC),Jim CR QD (entered at NWRC),Jim notes,Difference between NWRC and Jim measurement,Inferred Species Identification (BOLD ID engine),BOLD Processid,rechecked?,
NHS re- barcoded from previous year,1,1135,1129,CAGO Barcode Samples Box 5,CCDB-24260,F11,71, 172221382 2005 ,1722,21382,2005,06-Oct-06,2006,,Adult,Unknown,Alberta,53.66666667,-113.9,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1135-16,,
NHS re- barcoded from previous year,1,1142,1136,CAGO Barcode Samples Box 6,CCDB-24260,G06,78, 172221433 2004 ,1722,21433,2004,11-Sep-06,2006,,Adult,Unknown,Alberta,58.23333333,-116.4,,,,,,,,,,,,,,,,,,,,,,,,
NHS re- barcoded from previous year,1,1122,1116,CAGO Barcode Samples Box 3,CCDB-24260,E10,58,172221496 2005,1722,21496,2005,01-Oct-06,2006,,Unknown,Unknown,Manitoba,49.88333333,-97.41666667,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1122-16,,
NHS re- barcoded from previous year,1,1138,1132,CAGO Barcode Samples Box 5,CCDB-24260,G02,74, 172221827 2005 ,1722,21827,2005,03-Oct-06,2006,,Adult,Unknown,Alberta,55.88333333,-117.6666667,,,,,,,,,,,,,,,,,,,,,Branta canadensis,GOOSE1138-16,,
NHS re- barcoded from previous year,1,1126,1120,CAGO Barcode Samples Box 3,CCDB-24260,F02,62,172222168 2005,1722,22168,2005,08-Oct-05,2005,,Adult,Unknown,Manitoba,49.75,-96.86666667,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1126-16,,
NHS re- barcoded from previous year,1,1133,1127,CAGO Barcode Samples Box 5,CCDB-24260,F09,69, 172131092 2005 ,1721,31092,2005,07-Oct-05,2005,,Adult,Unknown,Alberta,53.26666667,-111.0666667,,,,,,,,,,,,,,,,,,,,,Branta hutchinsii,GOOSE1133-16,,
NHS Barcoded,1,747,741,8,CCDB-26629,B08,76,172151022,1721,51022,2009,11-Oct-14,2014,Both Same,Adult,Unknown,British Columbia,49.25,-124.3166667,119,0.086,,132,0.096,,132,0.096,,LR remeasured MG,,,,,,,,,,,Branta hutchinsii,GOOSE747-16,rechecked,
NHS Barcoded,1,1022,1016,11,CCDB-26540,C06,66,172151024,1721,51024,2009,11-Oct-14,2014,Both Same,Adult,Unknown,British Columbia,49.25,-124.3166667,132,0.089,,140,0.106,,,,1A,,,,,,,,,,,,Branta hutchinsii,GOOSE1022-16,,
NHS Barcoded,1,672,666,8,CCDB-26629,H11,1 new plate,172151026,1721,51026,2009,23-Nov-14,2014,Both Same,Adult,Unknown,British Columbia,49.2,-122.3666667,144,0.101,,157,0.12,,144,0.12,,,,,,,,,,,,,Branta hutchinsii,GOOSE672-16,,
NHS Barcoded,1,488,482,6,CCDB 26455,A07,7,172151028,1721,51028,2009,01-Oct-14,2014,Both Same,Immature,Unknown,Manitoba,50.71666667,-96.98333333,,, missing ,151,0.104,,144,0.01,,MG confirmed,,,,,,,,,,,Branta canadensis,GOOSE488-16,rechecked,
NHS Barcoded,1,251,245,3,CCDB-25615,E07,55,172151030,1721,51030,2009,13-Oct-14,2014,Both Same,Immature,Unknown,Manitoba,50.01666667,-96.93333333,132,0.093,,153,0.106,,147,0.111,,"CR remeasured MG, down from 133",,,,,,,,,,,Branta canadensis,GOOSE251-16,rechecked,
NHS Barcoded,1,434,428,5,CCDB-26631,H07,48,172152701,1721,52701,2009,18-Oct-14,2014,TA PI,Immature,Unknown,Alberta,51.96666667,-111.4,145,0.098,,151,0.113,,141,0.111,,,,,,,,,,,,,Branta hutchinsii,GOOSE434-16,,
NHS Barcoded,1,472,466,5,CCDB-26631,E04,86,172152702,1721,52702,2009,16-Oct-14,2014,Both Same,Adult,Unknown,Alberta,54.9,-112.3166667,145,0.11,,155,0.12,,151,0.116,,,,,,,,,,,,,Branta hutchinsii,GOOSE472-16,,
NHS Barcoded,1,457,451,5,CCDB-26631,F08,71,172152703,1721,52703,2009,26-Oct-14,2014,Both Same,Immature,Unknown,Alberta,53.11666667,-111.7666667,121,0.093,,133,0.101,,129,0.106,,CR remeasured MG,,,,,,,,,,,Branta hutchinsii,GOOSE457-16,rechecked,
NHS Barcoded,1,471,465,5,CCDB-26631,E05,85,172152704,1721,52704,2009,13-Sep-14,2014,Both Same,Adult,Unknown,Alberta,53.08333333,-111.2333333,110,, 3B ,162,0.116,,152,0.106,,CR remeasured MG,,,,,,,,,,,Branta hutchinsii,GOOSE471-16,rechecked,
NHS Barcoded,1,321,315,4,CCDB-26454,C06,30,172152705,1721,52705,2009,26-Oct-14,2014,Both Same,Immature,Unknown,Alberta,53.11666667,-111.7666667,123,0.098,,138,0.106,,136,0.106,,,,,,,,,,,,,Branta hutchinsii,GOOSE321-16,,
NHS Barcoded,1,473,467,5,CCDB-26631,E03,87,172152706,1721,52706,2009,13-Sep-14,2014,Both Same,Adult,Unknown,Alberta,53.08333333,-111.2333333,138,0.104,,157,0.128,,144,0.111,,,,,,,,,,,,,Branta hutchinsii,GOOSE473-16,,
NHS Barcoded,1,444,438,5,CCDB-26631,G09,58,172152707,1721,52707,2009,20-Oct-14,2014,Both Same,Adult,Unknown,Alberta,51.71666667,-111.45,147,0.106,,156,0.12,,143,0.116,,,,,,,,,,,,,Branta hutchinsii,GOOSE444-16,,
NHS Barcoded,1,456,450,5,CCDB-26631,F09,70,172152708,1721,52708,2009,09-Oct-14,2014,Both Same,Immature,Unknown,Alberta,55.71666667,-116.9,,, missing ,,,missing,,,missing,MG confirmed,,,,,,,,,,,Branta canadensis,GOOSE456-16,rechecked,
NHS Barcoded,1,458,452,5,CCDB-26631,F07,72,172152709,1721,52709,2009,18-Oct-14,2014,Both Same,Adult,Unknown,Alberta,51.96666667,-111.4,137,0.111,,141,0.116,,136,0.116,,,,,,,,,,,,,Branta hutchinsii,GOOSE458-16,,
NHS Barcoded,1,451,445,5,CCDB-26631,G02,65,172152710,1721,52710,2009,14-Oct-14,2014,Both Same,Immature,Unknown,Alberta,53.18333333,-111.7666667,134,0.101,,142,0.104,,136,0.101,,,,,,,,,,,,,Branta hutchinsii,GOOSE451-16,,
NHS Barcoded,1,459,453,5,CCDB-26631,F06,73,172152711,1721,52711,2009,17-Oct-14,2014,Both Same,Adult,Unknown,Alberta,51.96666667,-111.4,139,0.11,,149,0.12,,143,0.12,,LR remeasured MG,,,,,,,,,,,Branta hutchinsii,GOOSE459-16,rechecked,
NHS Barcoded,1,446,440,5,CCDB-26631,G07,60,172152712,1721,52712,2009,13-Sep-14,2014,Both Same,Adult,Unknown,Alberta,53.08333333,-111.2333333,136,0.111,,148,0.116,,136,0.111,,,,,,,,,,,,,Branta hutchinsii,GOOSE446-16,,
NHS Barcoded,1,443,437,5,CCDB-26631,G10,57,172152713,1721,52713,2009,17-Oct-14,2014,Both Same,Adult,Unknown,Alberta,55.55,-116.3166667,144,0.11,,155,0.12,,146,0.128,,"CR remeasured MG, down from 145",,,,,,,,,,,Branta canadensis,GOOSE443-16,rechecked,
NHS Barcoded,1,449,443,5,CCDB-26631,G04,63,172152714,1721,52714,2009,15-Nov-14,2014,Both Same,Immature,Unknown,Alberta,49.71666667,-112.3333333,132,0.099,,137,0.106,,133,0.11,,CR confirmed JF,,,,,,,,,,,Branta canadensis,GOOSE449-16,,
NHS Barcoded,1,442,436,5,CCDB-26631,G11,56,172152715,1721,52715,2009,17-Oct-14,2014,Both Same,Immature,Unknown,Alberta,55.55,-116.3166667,,, 3A ,154,0.12,,140,0.113,,MG confirmed,,,,,,,,,,,Branta canadensis,GOOSE442-16,rechecked,
NHS Barcoded,1,447,441,5,CCDB-26631,G06,61,172152716,1721,52716,2009,15-Nov-14,2014,Both Same,Immature,Unknown,Alberta,49.71666667,-112.3333333,136,0.101,,145,0.111,,136,0.11,,CR confirmed JF,,,,,,,,,,,Branta canadensis,GOOSE447-16,,
NHS Barcoded,1,460,454,5,CCDB-26631,F05,74,172152717,1721,52717,2009,29-Sep-14,2014,Both Same,Immature,Unknown,Alberta,54.66666667,-112.6833333,114,0.093,,130,0.106,,,,1A,,,,,,,,,,,,Branta hutchinsii,GOOSE460-16,,
NHS Barcoded,1,448,442,5,CCDB-26631,G05,62,172152718,1721,52718,2009,13-Sep-14,2014,Both Same,Adult,Unknown,Alberta,53.08333333,-111.2333333,133,0.106,,147,0.128,,144,0.12,,LR remeasured MG,,,,,,,,,,,Branta hutchinsii,GOOSE448-16,rechecked,
NHS Barcoded,1,470,464,5,CCDB-26631,E06,84,172152719,1721,52719,2009,13-Sep-14,2014,Both Same,Adult,Unknown,Alberta,53.08333333,-111.2333333,131,0.106,,138,0.113,,130,0.106,,,,,,,,,,,,,Branta hutchinsii,GOOSE470-16,,
NHS Barcoded,1,445,439,5,CCDB-26631,G08,59,172152720,1721,52720,2009,24-Oct-14,2014,TA PI,Immature,Unknown,Alberta,50.1,-112,130,0.093,,142,0.111,,138,0.12,,,,,,,,,,,,,Branta hutchinsii,GOOSE445-16,,
NHS Barcoded,1,734,728,8,CCDB-26629,C09,63,172152741,1721,52741,2009,15-Sep-14,2014,Both Same,Adult,Unknown,Saskatchewan,,,134,0.099,,142,0.113,,,,4A,,,,,,,,,,,,Branta hutchinsii,GOOSE734-16,,
NHS Barcoded,1,735,729,8,CCDB-26629,C08,64,172152743,1721,52743,2009,15-Sep-14,2014,Both Same,Adult,Unknown,Saskatchewan,,,148,0.111,,154,0.116,,140,0.116,,,,,,,,,,,,,Branta hutchinsii,GOOSE735-16,,
NHS Barcoded,1,684,678,8,CCDB-26629,G11,13,172152745,1721,52745,2009,06-Nov-14,2014,Both Same,Immature,Unknown,Saskatchewan,52.76666667,-105.1,117,0.086,,132,0.104,,127,0.101,,,,,,,,,,,,,Branta hutchinsii,GOOSE684-16,,
NHS Barcoded,1,961,955,11,CCDB-26540,H07,5,172152747,1721,52747,2009,10-Oct-14,2014,Both Same,Adult,Unknown,Saskatchewan,50.36666667,-104.6166667,136,0.101,,150,0.116,,142,0.116,,,,,,,,,,,,,Branta hutchinsii,GOOSE961-16,,
NHS Not Barcoded ,1,2333,,,,,,172152749,1721,52749,2009,02-Oct-14,2014,Both Same,Adult,Unknown,Saskatchewan,53.26666667,-105.6666667,131,0.09,,143,0.12,,138,0.113,,not sure why not barcoded,,,,,,,,,,,,,,
NHS Barcoded,1,388,382,5,CCDB-26631,D05,2,172152751,1721,52751,2009,09-Oct-14,2014,Both Same,Adult,Unknown,Saskatchewan,51.3,-105.1666667,134,0.106,,150,0.12,,138,0.106,,,,,,,,,,,,,Branta hutchinsii,GOOSE388-16,,
NHS Barcoded,1,1033,1027,11,CCDB-26540,B07,77,172152753,1721,52753,2009,07-Nov-14,2014,Both Same,Adult,Unknown,Saskatchewan,52.76666667,-105.1,140,0.104,,151,0.12,,145,0.12,,,,,,,,,,,,,Branta hutchinsii,GOOSE1033-16,,
NHS Not Barcoded or measured,1,2334,,,,,,172152755,1721,52755,2009,28-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.48333333,-96.31666667,,,,,,,,,,,,,,,,,,,,,,,,
NHS Not Barcoded or measured,1,2335,,,,,,172152759,1721,52759,2009,28-Sep-14,2014,Both Same,Adult,Unknown,Manitoba,50.48333333,-96.31666667,,,,,,,,,,,,,,,,,,,,,,,,
NHS Barcoded,1,738,732,8,CCDB-26629,C05,67,172152761,1721,52761,2009,25-Oct-14,2014,TA PI,Immature,Unknown,Saskatchewan,51.63333333,-106.85,133,0.105,,149,0.128,,,,1A,,,,,,,,,,,,Branta hutchinsii,GOOSE738-16,,
NHS Barcoded,1,763,757,8,CCDB-26629,A04,92,172152762,1721,52762,2009,04-Oct-14,2014,TA PI,Immature,Unknown,Saskatchewan,51.41666667,-107.1833333,132,0.098,,144,0.11,,139,0.11,,,,,,,,,,,,,Branta hutchinsii,GOOSE763-16,,
NHS Barcoded,1,736,730,8,CCDB-26629,C07,65,172152763,1721,52763,2009,23-Oct-14,2014,Both Same,Immature,Unknown,Saskatchewan,52.95,-109.4666667,125,0.106,,136,0.111,,,,1A,,,,,,,,,,,,Branta hutchinsii,GOOSE736-16,,
NHS Barcoded,1,1057,1051,12,CCDB-24261,H04,88,172152764,1721,52764,2009,15-Sep-14,2014,Both Same,Adult,Unknown,Saskatchewan,,,139,0.098,,152,0.113,,143,0.104,,,,,,,,,,,,,Branta hutchinsii,GOOSE1057-16,,
NHS Barcoded,1,739,733,8,CCDB-26629,C04,68,172152765,1721,52765,2009,25-Oct-14,2014,Both Same,Adult,Unknown,Saskatchewan,51.65,-106.9166667,142,0.098,,154,0.11,,147,0.111,,,,,,,,,,,,,Branta hutchinsii,GOOSE739-16,,
NHS Barcoded,1,1055,1049,12,CCDB-24261,H02,86,172152766,1721,52766,2009,23-Oct-14,2014,TA PI,Immature,Unknown,Saskatchewan,,,131,0.099,,150,0.116,,140,0.12,,,,,,,,,,,,,Branta hutchinsii,GOOSE1055-16,,
NHS Barcoded,1,762,756,8,CCDB-26629,A05,91,172152767,1721,52767,2009,25-Oct-14,2014,Both Same,Immature,Unknown,Saskatchewan,51.65,-106.9166667,115,0.089,,138,0.106,,136,0.111,,,,,,,,,,,,,Branta hutchinsii,GOOSE762-16,,
NHS Barcoded,1,693,687,8,CCDB-26629,G02,22,172152768,1721,52768,2009,23-Oct-14,2014,TA PI,Immature,Unknown,Saskatchewan,,,135,0.11,,151,0.116,,142,0.12,,,,,,,,,,,,,Branta hutchinsii,GOOSE693-16,,
NHS Barcoded,1,743,737,8,CCDB-26629,B12,72,172152769,1721,52769,2009,24-Oct-14,2014,Both Same,Adult,Unknown,Saskatchewan,50.43333333,-108.6,141,0.113,,158,0.128,,145,0.116,,,,,,,,,,,,,Branta hutchinsii,GOOSE743-16,,
NHS Not Barcoded ,1,2336,,,,,,172152770,1721,52770,2009,06-Sep-14,2014,Both Same,Adult,Unknown,British Columbia,49.18333333,-122.0166667,142,, 4B ,,,missing,,,missing,,,,,,,,,,,,,,,
NHS Barcoded,1,929,923,10,CCDB-26627,C04,68,172152771,1721,52771,2009,23-Oct-14,2014,Both Same,Adult,Unknown,Saskatchewan,,,146,0.101,,158,0.126,,,,1A,,,,,,,,,,,,Branta hutchinsii,GOOSE929-16,,
NHS Barcoded,1,970,964,11,CCDB-26540,G10,14,172152772,1721,52772,2009,23-Oct-14,2014,Both Same,Adult,Unknown,British Columbia,48.93333333,-125.55,106,0.082,,119,0.093,,113,0.089,,,,,,,,,,,,,Branta hutchinsii,GOOSE970-16,,
NHS Barcoded,1,744,738,8,CCDB-26629,B11,73,172152773,1721,52773,2009,23-Oct-14,2014,Both Same,Adult,Unknown,Saskatchewan,,,141,0.101,,149,0.113,,139,0.104,,,,,,,,,,,,,Branta hutchinsii,GOOSE744-16,,
NHS Barcoded,1,971,965,11,CCDB-26540,G09,15,172152774,1721,52774,2009,23-Oct-14,2014,T only,Adult,Unknown,British Columbia,48.93333333,-125.55,124,0.089,,140,0.106,,133,0.106,,,,,,,,,,,,,Branta hutchinsii,GOOSE971-16,,
NHS Barcoded,1,949,943,10,CCDB-26627,A08,88,172152775,1721,52775,2009,22-Oct-14,2014,Both Same,Adult,Unknown,Saskatchewan,,,144,0.099,,154,0.116,,150,0.113,,,,,,,,,,,,,Branta hutchinsii,GOOSE949-16,,
NHS Barcoded,1,956,950,10,CCDB-26627,A01,95,172152776,1721,52776,2009,01-Nov-14,2014,Both Same,Adult,Unknown,British Columbia,,,124,0.096,,137,0.11,,132,0.11,,CR confirmed JF,,,,,,,,,,,Branta canadensis,GOOSE956-16,,
NHS Barcoded,1,700,694,8,CCDB-26629,F07,29,172152777,1721,52777,2009,25-Oct-14,2014,Both Same,Adult,Unknown,Saskatchewan,51.63333333,-106.85,137,0.099,,142,0.12,,138,0.128,,,,,,,,,,,,,Branta hutchinsii,GOOSE700-16,,
NHS Barcoded,1,731,725,8,CCDB-26629,C12,60,172152778,1721,52778,2009,08-Nov-14,2014,Both Same,Immature,Unknown,British Columbia,49.06666667,-122.7166667,137,0.106,,145,0.116,,127,0.12,,,,,,,,,,,,,Branta hutchinsii,GOOSE731-16,,
NHS Barcoded,1,696,690,8,CCDB-26629,F11,25,172152779,1721,52779,2009,09-Oct-14,2014,TA PI,Immature,Unknown,Saskatchewan,51.66666667,-106.6333333,138,0.098,,143,0.106,,142,0.111,,,,,,,,,,,,,Branta hutchinsii,GOOSE696-16,,
NHS Barcoded,1,952,946,10,CCDB-26627,A05,91,172152780,1721,52780,2009,28-Oct-14,2014,Both Same,Adult,Unknown,British Columbia,49.85,-124.5,143,0.106,,156,0.116,,151,0.113,,,,,,,,,,,,,Branta hutchinsii,GOOSE952-16,,
NHS Barcoded,1,427,421,5,CCDB-26631,F03,41,172152781,1721,52781,2009,18-Oct-14,2014,Both Same,Immature,Unknown,Manitoba,49.66666667,-97.08333333,,, DAMAGED ,,,DAMAGED,,,DAMAGED,MG confirmed,,,,,,,,,,,Branta canadensis,GOOSE427-16,rechecked,
NHS Barcoded,1,441,435,5,CCDB-26631,G12,55,172152782,1721,52782,2009,19-Sep-14,2014,Both Same,Immature,Unknown,Manitoba,50.01666667,-96.93333333,129,0.093,,156,0.12,,149,0.12,,CR confirmed JF,,,,,,,,,,,Branta canadensis,GOOSE441-16,,
NHS Barcoded,1,426,420,5,CCDB-26631,A10,40,172152783,1721,52783,2009,12-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,,,134,0.101,,143,0.11,,,,1A,,,,,,,,,,,,Branta hutchinsii,GOOSE426-16,,
NHS Barcoded,1,474,468,5,CCDB-26631,E02,88,172152784,1721,52784,2009,18-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.4,-99.15,136,0.098,,151,0.12,,144,0.12,,,,,,,,,,,,,Branta hutchinsii,GOOSE474-16,,
NHS Barcoded,1,281,275,3,CCDB-25615,H01,85,172152785,1721,52785,2009,12-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.66666667,-100.7333333,135,0.106,,147,0.128,,145,0.12,,LR remeasured MG,,,,,,,,,,,Branta hutchinsii,GOOSE281-16,rechecked,
NHS Barcoded,1,452,446,5,CCDB-26631,G01,66,172152786,1721,52786,2009,08-Oct-14,2014,TA PI,Immature,Unknown,Manitoba,50.1,-99.63333333,137,0.098,,138,0.11,,136,0.113,,,,,,,,,,,,,Branta hutchinsii,GOOSE452-16,,
NHS Barcoded,1,267,261,3,CCDB-25615,F11,71,172152787,1721,52787,2009,05-Oct-14,2014,Both Same,Adult,Unknown,Manitoba,49.21666667,-100.1333333,142,0.098,,152,0.113,,144,0.111,,,,,,,,,,,,,Branta hutchinsii,GOOSE267-16,,
NHS Barcoded,1,282,276,3,CCDB-25615,H02,86,172152788,1721,52788,2009,02-Nov-14,2014,Both Same,Immature,Unknown,Manitoba,50.06666667,-97.13333333,,, 3A ,145,0.116,,141,0.12,,MG confirmed,,,,,,,,,,,Branta canadensis,GOOSE282-16,rechecked,
NHS Barcoded,1,277,271,3,CCDB-25615,G09,81,172152789,1721,52789,2009,02-Oct-14,2014,Both Same,Immature,Unknown,Manitoba,50.76666667,-100.8,112,0.081,,126,0.096,,125,0.096,,,,,,,,,,,,,Branta hutchinsii,GOOSE277-16,,
