Sequence,box,study year,harvest year,ID seq number,prov sale,prov kill,age,changed,sample type,barcode ID,dateshot,latitude,longitude,key,Central Rectrix Length,Central Rectrix Unfeathered Quill  Length,Central Rectrix  Quill Dia,Longest Rectrix Length,Longest Rectrix Unfeathered Quill  Length,Longest Rectrix Quill Dia ,Most lateral Rectrix Length,Most lateral Rectrix Unfeathered Quill Length,Most lateral Rectrix Quill Dia,Comment,race measurements,key step for call,race tail,race tree,agree key and dna,race label,difference between checker and RM,
,,,2006,172020625 2006,ON,MB,A,,Assumed CAGO,,923,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2006,172020645 2006,MB,MB,A,,Assumed CAGO,,924,5021,10013,,,,,,,,,,,,,,,,,,,
,,,2006,172020647 2006,MB,MB,A,,Assumed CAGO,,924,5021,10013,,,,,,,,,,,,,,,,,,,
,,,2006,172020649 2006,MB,MB,A,,Assumed CAGO,,924,5021,10013,,,,,,,,,,,,,,,,,,,
,,,2006,172020651 2006,MB,MB,A,,Assumed CAGO,,924,5021,10013,,,,,,,,,,,,,,,,,,,
,,,2006,172020701 2006,ON,SK,A,,Assumed CAGO,,828,5152,10326,,,,,,,,,,,,,,,,,,,
,,,2006,172020703 2006,ON,SK,A,,Assumed CAGO,,826,5155,10329,,,,,,,,,,,,,,,,,,,
,,,2006,172020705 2006,ON,SK,A,,Assumed CAGO,,826,5155,10329,,,,,,,,,,,,,,,,,,,
,,,2006,172020707 2006,ON,SK,A,,Assumed CAGO,,827,5148,10329,,,,,,,,,,,,,,,,,,,
,,,2005,172020744 2005,,,A,,Assumed CAGO,,922,,,,,,,,,,,,,,,,,,,,,
,,,2005,172020746 2005,,,A,,Assumed CAGO,,9,,,,,,,,,,,,,,,,,,,,,
,,,2005,172020819 2005,ON,MB,A,,Assumed CAGO,,924,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2006,172020889 2006,ON,MB,A,,Assumed CAGO,,1004,5036,10034,,,,,,,,,,,,,,,,,,,
,,,2006,172021005 2006,ON,MB,A,,Assumed CAGO,,1004,5036,10034,,,,,,,,,,,,,,,,,,,
,,,2006,172021007 2006,ON,MB,A,,Assumed CAGO,,1005,5037,10035,,,,,,,,,,,,,,,,,,,
,,,2006,172021009 2006,ON,MB,A,,Assumed CAGO,,1005,5036,10034,,,,,,,,,,,,,,,,,,,
,,,2006,172021011 2006,ON,MB,A,,Assumed CAGO,,1005,5036,10034,,,,,,,,,,,,,,,,,,,
,,,2006,172021013 2006,ON,MB,A,,Assumed CAGO,,1005,5036,10034,,,,,,,,,,,,,,,,,,,
,,,2006,172021015 2006,ON,MB,A,,Assumed CAGO,,1005,5036,10034,,,,,,,,,,,,,,,,,,,
,,,2006,172021031 2006,ON,MB,A,,Assumed CAGO,,1004,5036,10034,,,,,,,,,,,,,,,,,,,
,,,2006,172021033 2006,ON,MB,A,,Assumed CAGO,,1004,5036,10034,,,,,,,,,,,,,,,,,,,
,,,2006,172021042 2006,ON,MB,A,,Assumed CAGO,,925,5053,9726,,,,,,,,,,,,,,,,,,,
,,,2006,172021052 2006,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,172021068 2005,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,172021080 2006,ON,MB,A,,Assumed CAGO,,924,5053,9733,,,,,,,,,,,,,,,,,,,
,,,2006,172021082 2006,ON,MB,A,,Assumed CAGO,,924,5053,9733,,,,,,,,,,,,,,,,,,,
,,,2005,172021098 2005,ON,MB,A,,Assumed CAGO,,924,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172021230 2005,ON,SK,A,,Assumed CAGO,,1014,4953,10535,,,,,,,,,,,,,,,,,,,
,,,2005,172021232 2005,ON,SK,A,,Assumed CAGO,,1014,4953,10535,,,,,,,,,,,,,,,,,,,
,,,2005,172021234 2005,ON,SK,A,,Assumed CAGO,,1014,4953,10535,,,,,,,,,,,,,,,,,,,
,,,2005,172021236 2005,ON,SK,A,,Assumed CAGO,,1014,4953,10535,,,,,,,,,,,,,,,,,,,
,,,2005,172021238 2005,ON,SK,A,,Assumed CAGO,,1014,4953,10535,,,,,,,,,,,,,,,,,,,
,,,2005,172021240 2005,ON,SK,A,,Assumed CAGO,,1014,4953,10535,,,,,,,,,,,,,,,,,,,
,,,2005,172021289 2005,MB,MB,A,,Assumed CAGO,,1004,5017,10012,,,,,,,,,,,,,,,,,,,
,,,2005,172021291 2005,MB,MB,A,,Assumed CAGO,,1004,5017,10012,,,,,,,,,,,,,,,,,,,
,,,2005,172021293 2005,ON,MB,A,,Assumed CAGO,,919,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172021419 2005,ON,SK,A,,Assumed CAGO,,929,4944,10620,,,,,,,,,,,,,,,,,,,
,,,2005,172021450 2005,,,A,,Assumed CAGO,,927,,,,,,,,,,,,,,,,,,,,,
,,,2006,172021700 2006,ON,MB,A,,Assumed CAGO,,923,5128,9843,,,,,,,,,,,,,,,,,,,
,,,2006,172021702 2006,ON,MB,A,,Assumed CAGO,,923,5128,9843,,,,,,,,,,,,,,,,,,,
,,,2005,172021891 2005,ON,MB,A,,Assumed CAGO,,919,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172021893 2005,ON,MB,A,,Assumed CAGO,,919,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172021895 2005,ON,MB,A,,Assumed CAGO,,920,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172021897 2005,ON,MB,A,,Assumed CAGO,,920,5012,9712,,,,,,,,,,,,,,,,,,,
,,,2005,172022562 2005,AB,AB,A,,Assumed CAGO,,1128,4937,11229,,,,,,,,,,,,,,,,,,,
,,,2005,172022563 2005,AB,AB,A,,Assumed CAGO,,1125,4938,11230,,,,,,,,,,,,,,,,,,,
,,,2005,172022564 2005,AB,AB,A,,Assumed CAGO,,1126,4938,11230,,,,,,,,,,,,,,,,,,,
,,,2005,172022565 2005,AB,AB,A,,Assumed CAGO,,1126,4938,11230,,,,,,,,,,,,,,,,,,,
,,,2005,172022566 2005,AB,AB,A,,Assumed CAGO,,1128,4937,11229,,,,,,,,,,,,,,,,,,,
,,,2005,172022568 2005,AB,AB,A,,Assumed CAGO,,1126,4938,11230,,,,,,,,,,,,,,,,,,,
,,,2005,172022571 2005,AB,AB,A,,Assumed CAGO,,1125,4938,11230,,,,,,,,,,,,,,,,,,,
,,,2005,172022572 2005,AB,AB,A,,Assumed CAGO,,1125,4938,11230,,,,,,,,,,,,,,,,,,,
,,,2005,172022577 2005,AB,AB,A,,Assumed CAGO,,1125,4938,11230,,,,,,,,,,,,,,,,,,,
,,,2005,172022618 2005,AB,AB,A,,Assumed CAGO,,1222,4934,11223,,,,,,,,,,,,,,,,,,,
,,,2005,172022625 2005,AB,AB,A,,Assumed CAGO,,1222,4934,11223,,,,,,,,,,,,,,,,,,,
,,,2005,172022780 2005,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,172023746 2004,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,172023748 2004,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,172023773 2005,,,A,,Assumed CAGO,,1103,,,,,,,,,,,,,,,,,,,,,
,,,2006,172024054 2004,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,172024056 2004,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,172024208 2004,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,172024209 2004,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,172024442 2004,ON,MB,A,,Assumed CAGO,,921,5144,10004,,,,,,,,,,,,,,,,,,,
,,,2006,172024483 2004,,,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,172024518 2004,ON,MB,A,,Assumed CAGO,,920,5140,9958,,,,,,,,,,,,,,,,,,,
,,,2006,172024526 2004,ON,MB,A,,Assumed CAGO,,1002,5036,10034,,,,,,,,,,,,,,,,,,,
,,,2006,172024538 2004,ON,MB,A,,Assumed CAGO,,923,5053,9733,,,,,,,,,,,,,,,,,,,
,,,2006,172024540 2004,ON,MB,A,,Assumed CAGO,,924,5053,9733,,,,,,,,,,,,,,,,,,,
,,,2003,172110301 2003,BC,BC,A,,Assumed CAGO,,1222,4915,12420,,,,,,,,,,,,,,,,,,,
,,,2003,172110305 2003,BC,BC,A,,Assumed CAGO,,1104,5403,12405,,,,,,,,,,,,,,,,,,,
,,,2003,172110308 2003,BC,BC,A,,Assumed CAGO,,1113,4910,12252,,,,,,,,,,,,,,,,,,,
,,,2003,172110316 2003,BC,BC,A,,Assumed CAGO,,1126,4907,12305,,,,,,,,,,,,,,,,,,,
,,,2003,172110320 2003,BC,BC,A,,Assumed CAGO,,1124,4954,11930,,,,,,,,,,,,,,,,,,,
,,,2003,172110347 2003,BC,BC,A,,Assumed CAGO,,1101,5359,12839,,,,,,,,,,,,,,,,,,,
,,,2003,172110395 2003,BC,BC,A,,Assumed CAGO,,1126,4907,12305,,,,,,,,,,,,,,,,,,,
,,,2005,172120054 2005,MB,MB,A,,Assumed CAGO,,926,5050,9820,,,,,,,,,,,,,,,,,,,
,,,2005,172120055 2005,MB,MB,A,,Assumed CAGO,,925,5050,9820,,,,,,,,,,,,,,,,,,,
,,,2005,172120104 2005,MB,MB,A,,Assumed CAGO,,925,5000,9941,,,,,,,,,,,,,,,,,,,
,,,2005,172120116 2005,MB,MB,A,,Assumed CAGO,,930,5037,9703,,,,,,,,,,,,,,,,,,,
,,,2005,172120165 2005,MB,MB,A,,Assumed CAGO,,917,5701,9008,,,,,,,,,,,,,,,,,,,
,,,2005,172120166 2005,MB,MB,A,,Assumed CAGO,,930,5104,9737,,,,,,,,,,,,,,,,,,,
,,,2005,172120175 2005,MB,MB,A,,Assumed CAGO,,916,5701,9008,,,,,,,,,,,,,,,,,,,
,,,2006,172120214 2005,AB,AB,A,,Assumed CAGO,,1108,4935,11147,,,,,,,,,,,,,,,,,,,
,,,2005,172120241 2004,SK,SK,A,,Assumed CAGO,,1202,5046,10339,,,,,,,,,,,,,,,,,,,
,,,2005,172120243 2004,SK,SK,A,,Assumed CAGO,,1102,5248,10818,,,,,,,,,,,,,,,,,,,
,,,2005,172120385 2004,MB,MB,A,,Assumed CAGO,,930,5104,9737,,,,,,,,,,,,,,,,,,,
,,,2005,172120391 2004,MB,MB,A,,Assumed CAGO,,1010,4947,9657,,,,,,,,,,,,,,,,,,,
,,,2005,172120424 2004,MB,MB,A,,Assumed CAGO,,910,4952,9725,,,,,,,,,,,,,,,,,,,
,,,2005,172120442 2004,MB,MB,A,,Assumed CAGO,,1024,4956,9819,,,,,,,,,,,,,,,,,,,
,,,2005,172120443 2004,MB,MB,A,,Assumed CAGO,,1015,4957,9945,,,,,,,,,,,,,,,,,,,
,,,2005,172120448 2004,MB,MB,A,,Assumed CAGO,,926,5227,10059,,,,,,,,,,,,,,,,,,,
,,,2005,172120452 2004,MB,MB,A,,Assumed CAGO,,1004,,,,,,,,,,,,,,,,,,,,,
,,,2005,172120453 2004,MB,MB,A,,Assumed CAGO,,1018,4944,10028,,,,,,,,,,,,,,,,,,,
,,,2005,172120454 2004,MB,MB,A,,Assumed CAGO,,1004,,,,,,,,,,,,,,,,,,,,,
,,,2005,172120459 2004,,MB,A,,Assumed CAGO,,1007,5000,9730,,,,,,,,,,,,,,,,,,,
,,,2005,172120460 2004,MB,MB,A,,Assumed CAGO,,1010,4918,9904,,,,,,,,,,,,,,,,,,,
,,,2005,172120464 2004,MB,MB,A,,Assumed CAGO,,1008,5058,9708,,,,,,,,,,,,,,,,,,,
,,,2005,172120466 2004,MB,MB,A,,Assumed CAGO,,1015,4952,9723,,,,,,,,,,,,,,,,,,,
,,,2005,172120470 2004,MB,MB,A,,Assumed CAGO,,1024,5213,10055,,,,,,,,,,,,,,,,,,,
,,,2005,172120473 2004,MB,MB,A,,Assumed CAGO,,1022,5003,10011,,,,,,,,,,,,,,,,,,,
,,,2005,172120475 2004,MB,MB,A,,Assumed CAGO,,1022,5003,10011,,,,,,,,,,,,,,,,,,,
,,,2005,172120476 2004,MB,MB,A,,Assumed CAGO,,1020,4959,9818,,,,,,,,,,,,,,,,,,,
,,,2005,172120477 2004,MB,MB,A,,Assumed CAGO,,1014,5004,9719,,,,,,,,,,,,,,,,,,,
,,,2005,172120479 2004,MB,MB,A,,Assumed CAGO,,1018,5059,9937,,,,,,,,,,,,,,,,,,,
,,,2005,172201861 2005,BC,BC,A,,Assumed CAGO,,117,4844,12342,,,,,,,,,,,,,,,,,,,
,,,2005,172201864 2005,AB,AB,A,,Assumed CAGO,,1117,5032,11254,,,,,,,,,,,,,,,,,,,
,,,2003,172210078 2003,BC,BC,A,,Assumed CAGO,,1016,5054,11854,,,,,,,,,,,,,,,,,,,
,,,2003,172210203 2003,BC,BC,A,,Assumed CAGO,,1109,5040,11907,,,,,,,,,,,,,,,,,,,
,,,2003,172210222 2003,BC,BC,A,,Assumed CAGO,,1231,4953,11929,,,,,,,,,,,,,,,,,,,
,,,2003,172210224 2003,BC,BC,A,,Assumed CAGO,,104,4901,12243,,,,,,,,,,,,,,,,,,,
,,,2003,172210226 2003,BC,BC,A,,Assumed CAGO,,103,4906,12307,,,,,,,,,,,,,,,,,,,
,,,2003,172210227 2003,BC,BC,A,,Assumed CAGO,,104,4901,12243,,,,,,,,,,,,,,,,,,,
,,,2003,172210229 2003,BC,BC,A,,Assumed CAGO,,906,4905,12301,,,,,,,,,,,,,,,,,,,
,,,2003,172210233 2003,BC,BC,A,,Assumed CAGO,,906,4919,12230,,,,,,,,,,,,,,,,,,,
,,,2003,172210236 2003,BC,BC,A,,Assumed CAGO,,1122,4911,12143,,,,,,,,,,,,,,,,,,,
,,,2003,172210238 2003,BC,BC,A,,Assumed CAGO,,1201,4944,11651,,,,,,,,,,,,,,,,,,,
,,,2003,172210239 2003,BC,BC,A,,Assumed CAGO,,1126,4902,11737,,,,,,,,,,,,,,,,,,,
,,,2003,172210241 2003,BC,BC,A,,Assumed CAGO,,103,4901,12243,,,,,,,,,,,,,,,,,,,
,,,2003,172210247 2003,BC,BC,A,,Assumed CAGO,,1011,4845,12335,,,,,,,,,,,,,,,,,,,
,,,2003,172210250 2003,BC,BC,A,,Assumed CAGO,,1220,4952,11927,,,,,,,,,,,,,,,,,,,
,,,2003,172210253 2003,,BC,A,,Assumed CAGO,,1217,5041,11946,,,,,,,,,,,,,,,,,,,
,,,2003,172210256 2003,BC,BC,A,,Assumed CAGO,,1015,5419,12920,,,,,,,,,,,,,,,,,,,
,,,2003,172210257 2003,,BC,A,,Assumed CAGO,,1220,5041,11946,,,,,,,,,,,,,,,,,,,
,,,2003,172210258 2003,BC,BC,A,,Assumed CAGO,,1015,5419,12920,,,,,,,,,,,,,,,,,,,
,,,2003,172210263 2003,BC,BC,A,,Assumed CAGO,,906,4905,12306,,,,,,,,,,,,,,,,,,,
,,,2003,172210266 2003,BC,BC,A,,Assumed CAGO,,907,,,,,,,,,,,,,,,,,,,,,
,,,2003,172210267 2003,BC,BC,A,,Assumed CAGO,,1011,4916,12244,,,,,,,,,,,,,,,,,,,
,,,2003,172210269 2003,BC,BC,A,,Assumed CAGO,,103,4901,12243,,,,,,,,,,,,,,,,,,,
,,,2003,172210271 2003,BC,BC,A,,Assumed CAGO,,1011,4902,12309,,,,,,,,,,,,,,,,,,,
,,,2003,172210272 2003,BC,BC,A,,Assumed CAGO,,1027,4907,12307,,,,,,,,,,,,,,,,,,,
,,,2003,172210273 2003,BC,BC,A,,Assumed CAGO,,1025,4908,11630,,,,,,,,,,,,,,,,,,,
,,,2003,172210274 2003,BC,BC,A,,Assumed CAGO,,906,4905,12306,,,,,,,,,,,,,,,,,,,
,,,2003,172210276 2003,BC,BC,A,,Assumed CAGO,,1020,4942,11651,,,,,,,,,,,,,,,,,,,
,,,2003,172210278 2003,BC,BC,A,,Assumed CAGO,,1105,4910,12252,,,,,,,,,,,,,,,,,,,
,,,2003,172210279 2003,BC,BC,A,,Assumed CAGO,,1020,5346,13211,,,,,,,,,,,,,,,,,,,
,,,2003,172210282 2003,BC,BC,A,,Assumed CAGO,,712,4914,11741,,,,,,,,,,,,,,,,,,,
,,,2003,172210284 2003,BC,BC,A,,Assumed CAGO,,906,4905,12306,,,,,,,,,,,,,,,,,,,
,,,2003,172210285 2003,BC,BC,A,,Assumed CAGO,,1207,4914,11741,,,,,,,,,,,,,,,,,,,
,,,2003,172210287 2003,BC,BC,A,,Assumed CAGO,,913,5040,11915,,,,,,,,,,,,,,,,,,,
,,,2003,172210288 2003,BC,BC,A,,Assumed CAGO,,1124,4954,11930,,,,,,,,,,,,,,,,,,,
,,,2003,172210290 2003,BC,BC,A,,Assumed CAGO,,1124,4953,11929,,,,,,,,,,,,,,,,,,,
,,,2003,172210292 2003,BC,BC,A,,Assumed CAGO,,1011,4916,12244,,,,,,,,,,,,,,,,,,,
,,,2003,172210294 2003,BC,BC,A,,Assumed CAGO,,915,5300,12230,,,,,,,,,,,,,,,,,,,
,,,2003,172210295 2003,BC,BC,A,,Assumed CAGO,,913,5040,11915,,,,,,,,,,,,,,,,,,,
,,,2003,172210296 2003,SK,BC,A,,Assumed CAGO,,1011,4904,12253,,,,,,,,,,,,,,,,,,,
,,,2003,172210297 2003,BC,BC,A,,Assumed CAGO,,910,4826,12339,,,,,,,,,,,,,,,,,,,
,,,2003,172210298 2003,BC,BC,A,,Assumed CAGO,,1011,4916,12244,,,,,,,,,,,,,,,,,,,
,,,2003,172210300 2003,BC,BC,A,,Assumed CAGO,,1124,4954,11930,,,,,,,,,,,,,,,,,,,
,,,2003,172210303 2003,BC,BC,A,,Assumed CAGO,,1114,5002,12616,,,,,,,,,,,,,,,,,,,
,,,2003,172210305 2003,BC,BC,A,,Assumed CAGO,,1111,4902,11737,,,,,,,,,,,,,,,,,,,
,,,2003,172210307 2003,BC,BC,A,,Assumed CAGO,,1107,4944,11651,,,,,,,,,,,,,,,,,,,
,,,2003,172210309 2003,BC,BC,A,,Assumed CAGO,,1105,4910,12252,,,,,,,,,,,,,,,,,,,
,,,2003,172210311 2003,BC,BC,A,,Assumed CAGO,,1105,4910,12252,,,,,,,,,,,,,,,,,,,
,,,2003,172210313 2003,BC,BC,A,,Assumed CAGO,,1114,5002,12616,,,,,,,,,,,,,,,,,,,
,,,2003,172210315 2003,BC,BC,A,,Assumed CAGO,,1214,5359,12839,,,,,,,,,,,,,,,,,,,
,,,2003,172210316 2003,BC,BC,A,,Assumed CAGO,,1007,,,,,,,,,,,,,,,,,,,,,
,,,2003,172210317 2003,BC,BC,A,,Assumed CAGO,,1107,4946,11651,,,,,,,,,,,,,,,,,,,
,,,2003,172210318 2003,BC,BC,A,,Assumed CAGO,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,172210319 2003,BC,BC,A,,Assumed CAGO,,1107,4944,11651,,,,,,,,,,,,,,,,,,,
,,,2003,172210361 2003,BC,BC,A,,Assumed CAGO,,1023,,,,,,,,,,,,,,,,,,,,,
,,,2003,172210641 2003,BC,BC,A,,Assumed CAGO,,906,4909,12311,,,,,,,,,,,,,,,,,,,
,,,2003,172210702 2003,BC,BC,A,,Assumed CAGO,,1221,4915,12420,,,,,,,,,,,,,,,,,,,
,,,2003,172210709 2003,BC,BC,A,,Assumed CAGO,,1124,4954,11930,,,,,,,,,,,,,,,,,,,
,,,2003,172210710 2003,BC,BC,A,,Assumed CAGO,,104,4901,12243,,,,,,,,,,,,,,,,,,,
,,,2003,172210711 2003,BC,BC,A,,Assumed CAGO,,913,5040,11915,,,,,,,,,,,,,,,,,,,
,,,2003,172210712 2003,BC,BC,A,,Assumed CAGO,,104,4901,12243,,,,,,,,,,,,,,,,,,,
,,,2003,172210713 2003,BC,BC,A,,Assumed CAGO,,913,5040,11915,,,,,,,,,,,,,,,,,,,
,,,2003,172210714 2003,BC,BC,A,,Assumed CAGO,,104,4901,12243,,,,,,,,,,,,,,,,,,,
,,,2003,172210718 2003,BC,BC,A,,Assumed CAGO,,1231,4953,11929,,,,,,,,,,,,,,,,,,,
,,,2003,172210719 2003,BC,BC,A,,Assumed CAGO,,906,4905,12301,,,,,,,,,,,,,,,,,,,
,,,2003,172210750 2003,BC,BC,A,,Assumed CAGO,,1022,,,,,,,,,,,,,,,,,,,,,
,,,2003,172211084 2003,BC,BC,A,,Assumed CAGO,,1108,5419,12953,,,,,,,,,,,,,,,,,,,
,,,2003,172211087 2003,BC,BC,A,,Assumed CAGO,,1027,4859,12305,,,,,,,,,,,,,,,,,,,
,,,2003,172211094 2003,BC,BC,A,,Assumed CAGO,,1205,5359,12839,,,,,,,,,,,,,,,,,,,
,,,2003,172211098 2003,BC,BC,A,,Assumed CAGO,,,4910,12252,,,,,,,,,,,,,,,,,,,
,,,2003,172211100 2003,BC,BC,A,,Assumed CAGO,,1113,4910,12252,,,,,,,,,,,,,,,,,,,
,,,2003,172211102 2003,BC,BC,A,,Assumed CAGO,,1028,5300,12320,,,,,,,,,,,,,,,,,,,
,,,2003,172211103 2003,BC,BC,A,,Assumed CAGO,,1018,4916,12244,,,,,,,,,,,,,,,,,,,
,,,2003,172211105 2003,BC,BC,A,,Assumed CAGO,,1013,4826,12339,,,,,,,,,,,,,,,,,,,
,,,2003,172211107 2003,BC,BC,A,,Assumed CAGO,,1013,4826,12339,,,,,,,,,,,,,,,,,,,
,,,2003,172211109 2003,BC,BC,A,,Assumed CAGO,,1013,4826,12339,,,,,,,,,,,,,,,,,,,
,,,2003,172211114 2003,BC,BC,A,,Assumed CAGO,,918,5405,12448,,,,,,,,,,,,,,,,,,,
,,,2003,172211121 2003,BC,BC,A,,Assumed CAGO,,924,4826,12339,,,,,,,,,,,,,,,,,,,
,,,2003,172211122 2003,BC,BC,A,,Assumed CAGO,,923,4826,12339,,,,,,,,,,,,,,,,,,,
,,,2003,172211124 2003,BC,BC,A,,Assumed CAGO,,911,4826,12339,,,,,,,,,,,,,,,,,,,
,,,2003,172211125 2003,BC,BC,A,,Assumed CAGO,,924,4826,12339,,,,,,,,,,,,,,,,,,,
,,,2003,172211127 2003,BC,BC,A,,Assumed CAGO,,1106,4914,12506,,,,,,,,,,,,,,,,,,,
,,,2003,172211130 2003,BC,BC,A,,Assumed CAGO,,906,4907,12307,,,,,,,,,,,,,,,,,,,
,,,2003,172211131 2003,BC,BC,A,,Assumed CAGO,,1118,5419,12916,,,,,,,,,,,,,,,,,,,
,,,2003,172211136 2003,BC,BC,A,,Assumed CAGO,,1011,4914,12506,,,,,,,,,,,,,,,,,,,
